Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Egghead,"The Egg > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734840/egghead,3.5,-1,Sport,"5.11b PG13",1,60,37.88573,-122.62965
"Get Buck In The Yolk","The Egg > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/121825720/get-buck-in-the-yolk,3.4,-1,Sport,5.11c,1,45,37.88573,-122.62965
"Sunnyside Up","The Egg > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736336/sunnyside-up,2.1,-1,Sport,5.11+,1,50,37.88573,-122.62965
Junglework,"The Egg > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735383/junglework,2.6,-1,TR,5.12a,1,40,37.88573,-122.62965
"Shell Shock","The Egg > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/107195606/shell-shock,2.7,-1,Sport,5.12b,1,50,37.88573,-122.62965
"This is your Brain on Drugs","The Egg > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735380/this-is-your-brain-on-drugs,3.4,-1,Sport,5.12c,1,40,37.88573,-122.62965
"Out of the Blue","Grey Slab > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736244/out-of-the-blue,2.5,-1,"Sport, TR","5.8+ R",1,40,37.88855,-122.63287
"Rust Never Sleeps","Grey Slab > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736241/rust-never-sleeps,3.1,-1,"Sport, TR","5.10a R",1,40,37.88855,-122.63287
V3/5.11,"Old Man Boulder > Stinson Beach > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/108298241/v3511,2.9,-1,"TR, Boulder","5.11- V3",1,18,37.89176,-122.63552
"Tide Pull","Emperor Boulder > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/112108308/tide-pull,2.8,-1,Sport,5.11b,1,,37.87816,-122.62111
"Parallax Wave","Emperor Boulder > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/112108343/parallax-wave,2.7,-1,Sport,5.11c,1,35,37.87816,-122.62111
"The Empress","Emperor Boulder > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/112108922/the-empress,2.7,-1,Sport,5.12c,1,65,37.87816,-122.62111
"Better Than Sex.... Porpoises","Emperor Boulder > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/112108932/better-than-sex-porpoises,3.6,-1,Sport,5.12c,1,,37.87816,-122.62111
"The Temptress","Emperor Boulder > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/117734763/the-temptress,2.2,-1,Sport,5.12c/d,1,70,37.87816,-122.62111
"The Emperor's New Clothes","Emperor Boulder > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/112108364/the-emperors-new-clothes,3.5,-1,Sport,5.12d,1,65,37.87816,-122.62111
"Schtick Your Sumb","Emperor Boulder > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/112108913/schtick-your-sumb,2.8,-1,Sport,5.13a,1,65,37.87816,-122.62111
"The Emperor's New Sumb","Emperor Boulder > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/116627112/the-emperors-new-sumb,4.0,-1,Sport,"5.13b PG13",1,65,37.87816,-122.62111
"The Porpoise of Man","Emperor Boulder > Mickey's Beach > San Francisco Bay Area > California",https://www.mountainproject.com/route/117829594/the-porpoise-of-man,4.0,-1,Sport,5.13c,1,65,37.87816,-122.62111
