Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Cotton Mouth","Shady Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/108612897/cotton-mouth,2.0,-1,Sport,"5.10a PG13",1,,37.22654,-122.10116
"Special Effects","Shady Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734798/special-effects,2.0,-1,Sport,5.10a,1,30,37.22654,-122.10116
"Dog Breath","Shady Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735062/dog-breath,2.0,-1,Trad,5.10a,1,30,37.22654,-122.10116
"Small Man Complex","Shady Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/110586079/small-man-complex,1.8,-1,Sport,5.10b,1,35,37.22654,-122.10116
"Tall Man Simplex","Shady Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/108198020/tall-man-simplex,3.0,-1,Sport,5.10c,1,35,37.22654,-122.10116
"Bad Influence","Shady Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/110680660/bad-influence,1.8,-1,Sport,5.11b,1,,37.22654,-122.10116
"Herpes Simplex","Shady Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/109371801/herpes-simplex,2.8,-1,Sport,5.11b/c,1,35,37.22654,-122.10116
"Lieback Corner","Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736465/lieback-corner,2.1,-1,"Trad, TR",5.7,1,60,37.2265,-122.1053
"Leading to Death","Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734777/leading-to-death,2.2,-1,"Trad, TR",5.9-,1,65,37.2265,-122.1053
"Evil Bolt Greeboo","Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736055/evil-bolt-greeboo,2.0,-1,Sport,5.9,1,50,37.2265,-122.1053
Degeneration,"Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734774/degeneration,2.6,-1,"Trad, TR",5.9+,1,70,37.2265,-122.1053
"The Falls","Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736052/the-falls,2.8,-1,Sport,"5.10c R",1,110,37.2265,-122.1053
"P(iece) O(f) S(hit) Crack","Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118332238/piece-of-shit-crack,1.0,-1,Trad,5.10c,1,60,37.2265,-122.1053
Putrefaction,"Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734789/putrefaction,2.5,-1,"Sport, TR",5.11a,1,70,37.2265,-122.1053
"The Oracle","Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736058/the-oracle,2.4,-1,"Sport, TR",5.11a,1,50,37.2265,-122.1053
Nausea,"Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118332211/nausea,2.0,-1,TR,5.11b,1,80,37.2265,-122.1053
Convulsions,"Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107479932/convulsions,2.0,-1,Trad,5.11b,1,70,37.2265,-122.1053
"Above the Law","Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/114383036/above-the-law,3.3,-1,Sport,"5.11b/c PG13",1,60,37.2265,-122.1053
"Black Dragon","Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118332255/black-dragon,1.0,-1,TR,5.11d,1,70,37.2265,-122.1053
Anti-Christ,"Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736229/anti-christ,2.9,-1,Sport,5.11d,1,70,37.2265,-122.1053
Clamydia,"Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736076/clamydia,3.7,-1,Sport,5.12a,1,50,37.2265,-122.1053
Dendritis,"Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118332250/dendritis,1.0,-1,TR,5.12b,1,70,37.2265,-122.1053
Cleotitis,"Waterfall Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/110349467/cleotitis,3.5,-1,Sport,5.12b,1,60,37.2265,-122.1053
"Muffin Monster","Middle Muffin > The Muffins > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105852289/muffin-monster,2.0,-1,TR,5.12d,1,30,37.2259,-122.1045
"Left Chimney","Lower Muffins > The Muffins > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/119984326/left-chimney,2.3,-1,TR,5.9,1,30,37.2259,-122.1045
"Right Chimney (a.k.a The Helmet Clamp)","Lower Muffins > The Muffins > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/119984366/right-chimney-aka-the-helmet-clamp,3.0,-1,TR,5.9,1,30,37.2259,-122.1045
"Corn Muffin","Lower Muffins > The Muffins > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734762/corn-muffin,1.7,-1,"Sport, TR",5.10d,1,30,37.2259,-122.1045
"Jelly Roll","Lower Muffins > The Muffins > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734765/jelly-roll,2.0,-1,"Sport, TR","5.10d R",1,30,37.2259,-122.1045
"Burnt Muffin","Lower Muffins > The Muffins > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734771/burnt-muffin,2.3,-1,"Sport, TR",5.11b/c,1,30,37.2259,-122.1045
"Jelly Belly","The Globule > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107230336/jelly-belly,1.3,-1,"Sport, TR",5.9+,1,30,37.23197,-122.09339
"Baby Fat","The Globule > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734720/baby-fat,2.9,-1,"Sport, TR","5.11a R",1,40,37.23197,-122.09339
"High on Life","Underworld Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735341/high-on-life,1.6,-1,"Sport, TR",5.8,1,30,37.2257,-122.0984
"Hair Dresser","Underworld Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735374/hair-dresser,2.1,-1,"Trad, Sport, TR",5.9,1,80,37.2257,-122.0984
"Balance Sheet","Underworld Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736016/balance-sheet,1.7,-1,"Trad, TR",5.10a,1,80,37.2257,-122.0984
"Hit Man","Underworld Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736019/hit-man,2.3,-1,"Sport, TR",5.10a,1,70,37.2257,-122.0984
"Drug Lord","Underworld Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735371/drug-lord,2.2,-1,"Sport, TR",5.10c,1,50,37.2257,-122.0984
"Gestapo Priest","Underworld Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736022/gestapo-priest,2.2,-1,"Sport, TR",5.10c,1,60,37.2257,-122.0984
"Up The Poop Chute","Underworld Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735377/up-the-poop-chute,3.0,-1,Sport,5.10d,1,60,37.2257,-122.0984
"High on Adrenaline","Underworld Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735344/high-on-adrenaline,2.4,-1,"Sport, TR",5.11a,1,60,37.2257,-122.0984
"Black Market Babies","Underworld Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/109523104/black-market-babies,2.8,-1,Sport,5.11a,1,55,37.2257,-122.0984
"Butt Hole Bypass","Underworld Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117093756/butt-hole-bypass,3.0,-1,"Sport, TR",5.11a,1,60,37.2257,-122.0984
Tormentor,"Underworld Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118250379/tormentor,2.0,-1,"Trad, TR",5.11a,1,,37.2257,-122.0984
"Slab Route","Mount Doom > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735032/slab-route,2.1,-1,Trad,"5.7 R",1,70,37.22839,-122.10988
"Summit Route","Mount Doom > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106317823/summit-route,1.9,-1,Sport,5.9+,1,30,37.22839,-122.10988
"West Face","Mount Doom > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106317815/west-face,2.3,-1,TR,5.10b,1,45,37.22839,-122.10988
"Hand Crack","Chew Tooth > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735350/hand-crack,2.0,-1,"Trad, TR",5.8,1,30,37.22672,-122.09952
"Thin Crack","Chew Tooth > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/112018156/thin-crack,2.3,-1,Trad,5.9-,1,35,37.22672,-122.09952
"Uncle Fred's Vacation Plan","Chew Tooth > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735347/uncle-freds-vacation-plan,2.5,-1,Sport,5.10a,1,20,37.22672,-122.09952
"Left Route","Chew Tooth > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106651677/left-route,2.3,-1,Sport,5.11b,1,25,37.22672,-122.09952
"Center Route","Chew Tooth > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735353/center-route,2.7,-1,"Sport, TR",5.12a,1,30,37.22672,-122.09952
"Unknown aka Cock rock","Billy Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106886508/unknown-aka-cock-rock,1.7,-1,"Trad, TR",5.8+,1,45,37.22841,-122.10737
"Billy Ray","Billy Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/116635258/billy-ray,1.3,-1,TR,5.9+,1,45,37.22841,-122.10737
"Bridwell Bolt Route","Billy Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735569/bridwell-bolt-route,2.6,-1,"Sport, TR",5.11b,1,50,37.22841,-122.10737
"Permanent Erection","Billy Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735572/permanent-erection,2.8,-1,"Sport, TR",5.11b,1,40,37.22841,-122.10737
"Cummed On","Billy Goat Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/108013272/cummed-on,2.8,-1,Sport,5.11b/c,1,40,37.22841,-122.10737
"Chock Stone","Castle Rock Proper > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106316141/chock-stone,1.9,-1,"Trad, TR",5.8,1,45,37.2284,-122.0961
Face,"Castle Rock Proper > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106230928/face,1.4,-1,TR,5.9,1,40,37.2284,-122.0961
"Farewell to Arms","Castle Rock Proper > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107046699/farewell-to-arms,2.4,-1,"Trad, TR",5.10b/c,1,75,37.2284,-122.0961
"South Face Center (or Mantel Groove?)","Castle Rock Proper > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106230936/south-face-center-or-mantel-groove,1.4,-1,TR,5.10+,1,40,37.2284,-122.0961
"Aeronautical Engineer","Castle Rock Proper > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117093985/aeronautical-engineer,3.7,-1,TR,5.11b/c,1,60,37.2284,-122.0961
"Weather the Wither (AKA Fish Taco)","Last Temptation Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/113074005/weather-the-wither-aka-fish-taco,2.7,-1,Trad,"5.8- PG13",1,60,37.22789,-122.10573
"Chimps in Negligee","Last Temptation Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106741704/chimps-in-negligee,2.1,-1,"Trad, TR",5.9-,1,50,37.22789,-122.10573
"Death & Taxes","Last Temptation Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/109338252/death-taxes,2.7,-1,TR,5.10c,1,65,37.22789,-122.10573
"Go I Know Not Whither and Bring Back I Know Not What","Last Temptation Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736402/go-i-know-not-whither-and-bring-back-i-know-not-what,3.0,-1,Trad,5.10c,1,60,37.22789,-122.10573
"Live Monkey Brain","Last Temptation Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106741755/live-monkey-brain,3.1,-1,"Sport, TR",5.11a,1,50,37.22789,-122.10573
"Sunset Arete","Last Temptation Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107421526/sunset-arete,2.3,-1,Sport,5.11a,1,40,37.22789,-122.10573
"Charlie's Angel","Last Temptation Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106741761/charlies-angel,2.2,-1,"Sport, TR",5.11b,1,60,37.22789,-122.10573
"Don't Do Crack Kids","Last Temptation Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117570573/dont-do-crack-kids,3.0,-1,Trad,5.11c,1,60,37.22789,-122.10573
Lobotomy,"Last Temptation Cliff > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107653875/lobotomy,2.5,-1,"Sport, TR",5.11d,1,40,37.22789,-122.10573
Vixen,"Lyme Disease Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106674872/vixen,1.1,-1,"Sport, TR",5.8,1,20,37.22673,-122.09199
"Pigs' Feat","Lyme Disease Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106321691/pigs-feat,2.0,-1,Sport,5.10a,1,45,37.22673,-122.09199
"Bitch Goddess Right","Lyme Disease Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/114590181/bitch-goddess-right,1.5,-1,TR,5.10a,1,20,37.22673,-122.09199
"Ticks ripped my flesh","Lyme Disease Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106321707/ticks-ripped-my-flesh,2.9,-1,Sport,5.10b,1,50,37.22673,-122.09199
"Bitch Goddess Left","Lyme Disease Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/114384654/bitch-goddess-left,1.0,-1,TR,5.11a,1,,37.22673,-122.09199
"Lucky in Love","Lyme Disease Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106674883/lucky-in-love,2.6,-1,"Sport, TR",5.11b,1,30,37.22673,-122.09199
"Unlucky in Love","Lyme Disease Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106772329/unlucky-in-love,1.6,-1,Sport,5.11b,1,35,37.22673,-122.09199
"Cosgrove Face","Lyme Disease Rock > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106772323/cosgrove-face,1.9,-1,"Sport, TR",5.11+,1,25,37.22673,-122.09199
"Case Dismissed","California Ridge > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106388663/case-dismissed,2.2,-1,"Trad, Sport",5.9+,1,50,37.2261,-122.0991
Mullah,"California Ridge > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106388657/mullah,3.1,-1,Sport,5.10a,1,50,37.2261,-122.0991
"Guilty As Charged","California Ridge > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106388671/guilty-as-charged,2.3,-1,Sport,5.10c,1,50,37.2261,-122.0991
"Access Denied","California Ridge > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106388637/access-denied,2.6,-1,"Trad, TR",5.11a,1,50,37.2261,-122.0991
"Cal Roof","California Ridge > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/114383028/cal-roof,2.0,-1,TR,5.11a,1,,37.2261,-122.0991
Ayatollah,"California Ridge > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106388643/ayatollah,2.4,-1,Sport,5.11d,1,50,37.2261,-122.0991
"California Five-Eleven A","California Ridge > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106388629/california-five-eleven-a,2.7,-1,"Sport, TR",5.12a,1,30,37.2261,-122.0991
"Southwest Arete","Platypus > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/121635802/southwest-arete,1.7,-1,Trad,5.7,1,40,37.22678,-122.10071
Rat-A-Puss,"Platypus > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106686058/rat-a-puss,2.3,-1,Sport,5.9,1,35,37.22678,-122.10071
"Howling Iguana","Platypus > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/113289212/howling-iguana,2.2,-1,TR,5.9+,1,45,37.22678,-122.10071
"Puking Iquana","Platypus > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118250421/puking-iquana,2.5,-1,TR,5.10a,1,45,37.22678,-122.10071
"Moss Man","Platypus > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106686067/moss-man,2.2,-1,Sport,5.10a,1,40,37.22678,-122.10071
Plat-A-Pussy,"Platypus > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106686078/plat-a-pussy,2.3,-1,Sport,5.10a/b,1,,37.22678,-122.10071
"Al Hussein","Platypus > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106686090/al-hussein,2.6,-1,Sport,5.10d,1,40,37.22678,-122.10071
Jellyfish,"Platypus > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/109137244/jellyfish,2.4,-1,Sport,5.11c,1,44,37.22678,-122.10071
Embryo,"Platypus > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/112017548/embryo,2.0,-1,TR,5.11c,1,45,37.22678,-122.10071
"I forget the name","Klinghoffers > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/116687233/i-forget-the-name,2.5,-1,"TR, Boulder","5.11a V2 X",1,40,37.22862,-122.10453
"Coz Solo","Klinghoffers > * Castle Rock Area Bouldering > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/116687034/coz-solo,3.0,-1,"TR, Boulder","5.11+ V3 X",1,40,37.22862,-122.10453
"The Outcall","The Hostess > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107419732/the-outcall,2.0,-1,TR,5.9-,1,60,37.22834,-122.10669
"Right Arete","The Hostess > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107422942/right-arete,2.1,-1,TR,5.9,1,60,37.22834,-122.10669
"Full Service","The Hostess > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/109242542/full-service,2.3,-1,TR,5.10b/c,1,65,37.22834,-122.10669
"My Demon Lover","Voyeur > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107429962/my-demon-lover,2.7,-1,"Trad, TR","5.10c/d PG13",1,45,37.23049,-122.09476
Thoth,"The Gods > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/113538407/thoth,1.6,-1,"Sport, TR",5.10a,1,20,37.23049,-122.09476
"Son of Thoth","The Gods > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/113538412/son-of-thoth,1.5,-1,TR,5.10a,1,20,37.23049,-122.09476
Anubis,"The Gods > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/113538403/anubis,2.5,-1,"Sport, TR",5.10b,1,20,37.23049,-122.09476
Hermes,"The Gods > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118250479/hermes,2.0,-1,"Trad, TR","5.10c PG13",1,30,37.23049,-122.09476
Cerberus,"The Gods > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/113538397/cerberus,2.0,-1,"Sport, TR",5.11a,1,20,37.23049,-122.09476
Set,"The Gods > Castle Rock Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/113538393/set,1.0,-1,Sport,"5.12a R",1,20,37.23049,-122.09476
"Diablo Jam","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/108310699/diablo-jam,1.8,-1,"Trad, TR",5.7,1,70,37.8471,-121.9258
Chimney,"Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734693/chimney,1.6,-1,Trad,5.7,1,70,37.8471,-121.9258
"Amazing Face","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734633/amazing-face,3.2,-1,Sport,5.10a,1,90,37.8471,-121.9258
Gruntle,"Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/122997040/gruntle,2.4,-1,Sport,5.10a,1,55,37.8471,-121.9258
Toast,"Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/121616386/toast,2.4,-1,Sport,5.10c,1,70,37.8471,-121.9258
"Ozone (a.k.a.) The Arch","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734696/ozone-aka-the-arch,2.9,-1,"Trad, TR",5.10c,1,55,37.8471,-121.9258
"Diagonal Crack","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734699/diagonal-crack,2.7,-1,Trad,5.10c,1,60,37.8471,-121.9258
"Once was Lost","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/120575016/once-was-lost,3.0,-1,Sport,5.10c,1,80,37.8471,-121.9258
"Ozone Direct","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734735/ozone-direct,2.3,-1,"Trad, TR","5.11a X",1,50,37.8471,-121.9258
Stegosaurus,"Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/114383056/stegosaurus,2.9,-1,Sport,5.11b,1,70,37.8471,-121.9258
Miwok,"Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/121055599/miwok,3.3,-1,Sport,5.11b,1,80,37.8471,-121.9258
Earthcling,"Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/107744280/earthcling,2.8,-1,Sport,5.11b,1,80,37.8471,-121.9258
"Black Lives Matter","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/108309574/black-lives-matter,2.7,-1,"Sport, TR",5.11b,1,70,37.8471,-121.9258
"Bolt Route","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734630/bolt-route,3.2,-1,Sport,5.11b/c,1,70,37.8471,-121.9258
Chameleon,"Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/122945868/chameleon,3.7,-1,Sport,5.12a,1,90,37.8471,-121.9258
Dinosaur,"Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736175/dinosaur,2.6,-1,Sport,"5.12a/b R",1,70,37.8471,-121.9258
Godzilla,"Lower Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/122997475/godzilla,4.0,-1,Sport,5.12d,1,90,37.8471,-121.9258
"Beach Crack","Middle Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734852/beach-crack,1.3,-1,"Trad, TR",5.7,1,40,37.84695,-121.92666
"Two for One (left variation)","Middle Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734867/two-for-one-left-variation,1.8,-1,TR,5.10a,1,30,37.84695,-121.92666
"Jungle Book","Middle Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734636/jungle-book,2.4,-1,"Trad, TR",5.10c,1,50,37.84695,-121.92666
"Pot Leaf Cave - Left Arete","Middle Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734738/pot-leaf-cave-left-arete,2.1,-1,Sport,5.10c,1,30,37.84695,-121.92666
"Two for One (right variation)","Middle Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734831/two-for-one-right-variation,1.9,-1,TR,5.10d,1,30,37.84695,-121.92666
"Two in One","Middle Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/107924880/two-in-one,2.1,-1,"Sport, TR",5.11,1,40,37.84695,-121.92666
"In the Buckets","Middle Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734642/in-the-buckets,2.6,-1,TR,5.11c,1,40,37.84695,-121.92666
"Betty's Beard","Middle Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/118984271/bettys-beard,2.0,-1,TR,5.11c,1,50,37.84695,-121.92666
Secnar,"Middle Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/121486893/secnar,3.0,-1,Sport,5.12b,1,35,37.84695,-121.92666
"Chouinard's Crack","Upper Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734741/chouinards-crack,2.0,-1,"Trad, TR",5.9,1,50,37.8467,-121.92671
"Devil's Arete","Upper Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/114383044/devils-arete,2.0,-1,TR,5.10b,1,,37.8467,-121.92671
"The Route Formerly Known as Face","Upper Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734813/the-route-formerly-known-as-face,2.7,-1,"Trad, TR",5.10c,1,90,37.8467,-121.92671
"Pebbly Face","Upper Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/117244728/pebbly-face,3.1,-1,TR,5.10d,1,40,37.8467,-121.92671
"Pie Crust","Upper Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105806562/pie-crust,2.3,-1,"Trad, TR",5.11,1,70,37.8467,-121.92671
A-3,"Upper Tier > Boy Scout Rocks > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/114383049/a-3,1.0,-1,TR,5.12+,1,,37.8467,-121.92671
"Periodontal Fracture","The Teeth > Pine Canyon > Mount Diablo State Park > San Francisco Bay Area > California",https://www.mountainproject.com/route/105808413/periodontal-fracture,3.5,-1,"Trad, TR",5.10a,1,40,37.88262,-121.98489
